"s01" "s02" "s03" "o04" "s05" "s06" "o07" "o08" "s09" "o10" "s11" "o12" "s13" "s14" "o15" "o16" "o17" "s18" "o19" "s20" "o21" "o22" "s23" "s24" "o25" "o26" "s27" "o28" "s29" "o30"
"M285" 5 3 1 4 5 2 2 4 5 5 3 2 5 4 4 5 2 3 3 5 5 3 2 2 4 2 5 2 5 4
"L610" 3 5 5 1 3 3 1 1 1 4 5 1 4 3 1 1 2 3 1 4 1 1 4 4 2 1 4 1 2 1
"L281" 3 3 3 1 1 5 1 1 1 1 3 1 4 4 2 1 1 1 1 5 2 1 5 3 1 1 1 1 1 1
"L540" 5 4 3 3 4 5 3 1 4 5 4 1 5 5 1 2 2 5 1 3 3 2 3 4 1 1 5 2 5 4
"M123" 1 2 5 4 5 1 5 4 4 5 1 4 5 3 2 5 4 2 5 2 5 4 3 3 4 4 4 5 4 4
"L393" 2 4 1 2 1 1 4 1 1 1 1 2 1 1 4 4 4 1 4 3 4 4 1 1 4 2 4 2 1 4
"M748" 1 2 2 2 2 2 3 1 1 3 5 1 3 3 3 3 1 2 3 1 4 1 4 4 1 2 3 1 1 2
"L592" 4 5 4 4 4 5 2 1 4 4 3 3 5 3 1 3 1 3 2 5 2 2 5 5 1 1 1 1 1 1
"L233" 2 3 4 3 2 1 5 2 3 5 3 5 2 4 3 4 2 1 2 3 5 3 1 1 4 3 1 3 1 4
"L512" 1 5 5 1 2 5 2 1 1 2 5 1 1 3 1 2 1 3 1 4 5 1 4 5 1 1 1 1 1 1
"L38" 2 1 2 5 1 1 2 1 2 1 4 3 5 3 4 5 2 3 4 2 3 1 2 1 4 2 4 1 4 4
"M990" 4 2 4 1 4 5 4 2 4 1 2 4 4 4 4 2 2 4 2 3 3 3 1 2 1 2 4 1 3 3
"L523" 1 1 2 4 2 3 4 1 1 4 4 2 1 3 4 5 5 1 1 3 4 1 3 2 2 1 1 2 1 5
"H48" 4 3 4 5 2 2 5 4 1 4 2 5 4 4 3 5 5 4 5 4 4 5 3 1 5 5 1 5 4 5
"M880" 1 4 5 3 2 3 5 1 4 2 4 4 5 4 4 3 4 3 2 1 4 4 2 2 2 2 4 4 4 4
"L403" 1 2 3 2 4 4 5 3 1 2 3 4 1 3 4 5 2 3 2 1 2 5 2 1 2 1 2 5 1 3
"L321" 4 5 4 2 3 5 1 1 3 2 5 1 1 2 1 1 1 2 1 5 1 1 3 4 1 1 4 1 1 2
"L953" 4 5 4 3 5 3 2 4 4 4 5 2 4 5 1 2 1 3 1 5 4 2 5 5 4 1 2 1 3 1
"L665" 4 3 3 4 5 5 2 1 1 3 5 1 5 3 1 2 1 3 1 5 3 2 4 4 1 2 1 1 2 1
"M798" 1 1 2 4 2 1 5 1 1 2 1 5 2 3 4 5 5 2 2 1 5 3 1 1 4 4 3 4 1 5
"M402" 4 4 5 3 3 4 1 1 4 4 4 2 3 2 1 3 1 2 1 3 4 2 2 4 5 1 5 2 3 1
"M45" 4 5 5 1 4 4 4 3 2 5 4 3 2 5 1 2 2 3 1 5 4 1 5 5 2 2 3 1 4 2
"M104" 1 1 4 3 4 5 4 1 1 3 4 2 3 3 3 1 2 3 1 2 2 2 2 3 2 1 1 1 1 5
"M547" 3 3 2 2 2 1 5 1 5 4 2 4 5 5 4 4 2 4 1 3 4 5 1 2 4 3 4 4 3 4
"M960" 1 2 2 4 1 2 5 1 2 3 4 2 1 3 3 4 5 1 3 4 4 1 1 1 4 4 1 2 2 5
"L252" 1 1 1 3 1 3 4 4 1 4 3 1 1 5 5 4 2 1 1 1 5 1 1 3 1 1 1 1 1 1
"M731" 2 3 3 5 5 4 5 2 5 5 2 3 4 4 1 4 5 3 3 4 1 2 1 2 5 3 4 2 3 4
"L763" 3 4 3 3 1 3 2 1 1 1 3 1 1 1 5 2 1 1 1 3 2 3 1 2 1 1 2 1 1 4
"M499" 5 4 4 3 5 4 1 2 5 4 5 3 5 5 4 5 2 4 1 3 4 2 2 4 2 1 4 2 4 1
"M836" 3 3 2 2 1 1 4 1 1 2 1 4 4 3 4 3 5 2 3 2 4 5 1 1 5 2 1 5 2 5
"M578" 2 4 3 3 3 4 1 1 1 4 3 3 1 3 2 3 2 1 1 5 1 2 1 1 4 1 3 1 1 1
"L226" 1 4 4 3 2 5 2 1 1 2 4 1 4 1 2 3 3 1 1 3 5 2 1 4 1 1 2 3 2 1
"M426" 1 1 3 3 1 3 3 1 1 4 3 3 4 1 3 4 3 1 1 2 3 1 3 3 4 2 2 1 1 1
"M874" 5 4 4 4 3 3 4 3 5 4 3 4 5 3 1 4 2 2 1 5 3 2 2 2 4 2 4 3 4 2
"L458" 3 4 4 5 3 5 5 1 2 5 5 2 4 4 4 5 5 4 2 4 2 5 4 2 1 1 3 2 4 5
"M72" 2 1 2 3 3 4 2 4 1 2 3 2 1 3 2 2 2 1 4 4 2 1 1 3 2 3 2 2 1 4
"L678" 5 5 4 2 4 3 5 3 2 4 5 2 4 4 1 4 2 3 3 4 2 1 4 4 2 1 2 2 1 3
"M589" 1 3 4 2 2 3 3 1 1 4 1 2 2 3 2 4 3 1 1 4 3 1 1 1 4 1 1 1 1 2
"L604" 4 2 3 2 4 5 4 1 5 2 5 1 4 4 3 3 1 2 1 2 4 1 4 4 2 1 5 2 4 4
"M604" 4 4 3 4 3 3 2 3 2 4 5 3 4 4 4 4 2 3 2 5 2 1 4 3 3 3 3 3 1 4
"M577" 1 1 1 4 3 3 5 3 4 3 1 3 4 2 5 4 2 3 3 1 3 3 1 1 2 1 5 2 3 5
"M866" 1 3 3 1 3 5 1 3 4 2 3 1 3 4 2 1 1 1 3 4 2 1 1 5 1 2 4 2 3 1
"L707" 3 1 2 2 3 3 5 3 2 5 4 2 4 3 4 4 1 3 1 3 5 1 1 2 2 1 4 1 3 1
"L650" 3 3 5 4 3 4 4 4 1 4 5 5 2 3 4 4 3 3 5 3 5 3 2 3 4 4 4 3 3 3
"M689" 3 1 1 5 2 1 4 1 4 3 1 5 1 4 4 5 5 3 2 1 3 5 1 1 4 2 4 3 2 5
"L472" 3 2 2 4 1 3 5 1 1 1 3 3 4 3 4 3 4 2 1 1 2 4 1 2 3 1 2 2 2 2
"L842" 1 1 2 2 1 1 2 1 1 3 1 2 1 1 5 4 1 1 1 1 5 1 1 2 1 1 1 1 1 2
"M779" 5 4 2 4 3 2 4 2 5 2 3 2 5 3 3 5 4 4 1 4 4 2 3 3 4 1 5 2 4 1
"L339" 1 1 1 3 1 4 3 1 1 2 4 2 5 3 5 5 1 3 1 1 3 1 2 1 1 1 1 3 1 2
"M708" 4 1 4 3 2 3 2 1 3 5 4 5 3 4 3 5 5 3 4 2 3 2 3 3 5 4 4 3 1 2
"M557" 3 5 5 3 4 3 2 1 5 5 3 3 5 5 3 5 1 3 3 2 3 3 3 4 3 3 4 3 4 4
"L427" 4 5 5 3 4 2 2 1 1 4 4 1 2 4 2 4 1 4 5 4 2 1 2 1 1 1 4 1 4 1
"M309" 4 2 3 4 4 2 5 2 3 5 1 4 2 5 4 5 5 2 3 2 4 4 2 1 5 3 4 4 5 5
"L333" 2 2 4 2 2 4 1 1 1 1 4 1 4 1 2 2 1 3 1 4 3 1 4 3 1 1 4 1 1 1
"M145" 3 2 2 4 1 2 5 1 4 4 4 2 4 4 4 4 2 4 2 3 5 2 4 2 5 3 4 2 4 4
"M394" 4 5 5 1 5 3 5 1 4 4 5 2 4 4 1 5 3 3 1 5 1 1 1 3 3 2 5 1 2 2
"M189" 4 1 5 4 2 1 5 1 5 4 2 5 5 4 3 4 4 3 3 1 4 5 1 2 4 1 5 4 5 5
"M382" 5 4 2 4 3 4 3 2 4 4 4 4 2 3 4 4 4 5 2 5 4 3 3 1 3 2 5 4 3 5
"M19" 1 1 2 4 1 1 4 1 1 4 2 2 1 3 4 2 5 1 5 4 4 1 1 1 5 2 1 2 1 3
"L190" 1 1 3 1 3 2 4 1 3 4 4 1 1 4 2 5 2 2 4 1 3 1 2 3 2 2 4 2 2 2
"L659" 1 2 4 5 2 4 2 1 3 2 5 1 1 4 5 4 2 3 2 1 4 1 3 4 3 1 3 1 2 1
"L463" 1 3 2 4 3 3 4 4 1 4 1 5 2 4 2 5 2 3 2 2 5 4 1 3 2 4 1 2 3 5
"L499" 3 2 3 2 2 5 1 1 3 2 4 1 1 2 5 4 2 2 1 1 3 1 4 3 1 1 5 1 3 1
"M813" 4 2 5 3 1 2 4 4 4 5 1 5 5 3 2 5 5 2 4 2 2 2 1 2 5 4 5 3 2 4
"M722" 1 2 4 4 3 4 5 1 2 2 4 1 5 3 4 2 2 1 1 1 2 1 2 3 2 1 5 1 1 4
"L524" 3 5 5 1 5 5 2 2 4 5 5 1 4 4 3 3 1 4 1 2 2 1 5 5 1 1 5 1 4 1
"L111" 2 5 4 3 3 1 2 1 1 2 4 1 4 1 1 3 1 3 1 5 2 1 3 3 2 1 1 1 4 1
